ID,Nombre,Stock,Precio
1002,Zapatos,7,6412
1041,Desodorante,12,8750
1016,Queso,12,5850
1038,Servilletas,14,4338
1042,Crema dental,18,8189
1045,Mermelada,18,7559
1024,Tomate en lata,18,917
1001,Pantalón,19,6792
1032,Ropa interior,20,752
1018,Café,22,5176
1004,Azúcar,22,5094
1011,Lentejas,29,8807
1022,Pan lactal,31,9247
1036,Ropa de cama,38,2087
1044,Pan rallado,41,1068
1000,Camiseta,44,6202
1026,Jugo en polvo,45,7339
1015,Jabón líquido,46,946
1013,Acondicionador,49,7977
1010,Harina,50,3513
1034,Buzo,51,8162
1039,Trapo de piso,51,7053
1008,Detergente,56,7779
1029,Sal gruesa,60,6805
1047,Atún en lata,60,1422
1040,Lavandina,63,8474
1037,Toalla,63,1321
1014,Papel higiénico,65,7092
1019,Té,66,5963
1035,Campera,67,8161
1030,Cereal,67,7986
1025,Agua mineral,68,1019
1007,Fideos,70,920
1033,Remera manga larga,71,8213
1005,Arroz,74,4223
1006,Aceite,76,6103
1012,Shampoo,80,9349
1031,Cacao,80,7658
1027,Jugo natural,80,2719
1048,Gaseosa,81,3465
1023,Yogur,83,1508
1046,Miel,85,6430
1003,Yerba,88,4756
1017,Leche,89,4144
1043,Cepillo de dientes,95,6642
1009,Galletitas,98,7757
1028,Sal fina,99,1766
1021,Manteca,100,6741
1020,Huevos,100,4803
